# index, TIC ID, TMag, separation (arcsec)
0, 102840239, 9.36, 0.0
1, 102840237, 11.4114, 6.035
2, 870239615, 19.9965, 8.358
3, 870239607, 19.6073, 8.961
4, 870239614, 18.7963, 11.953
5, 870239609, 19.9136, 13.333
6, 870239604, 19.7893, 23.139
7, 870239605, 18.4117, 25.356
8, 870239613, 18.023, 27.176
9, 870239606, 19.5243, 27.155
10, 870239620, 19.3988, 34.769
11, 870239625, 19.8094, 34.456
12, 870239623, 15.5224, 37.972
13, 870239619, 17.8358, 38.062
14, 870239612, 18.7305, 38.768
15, 870239574, 18.0156, 38.634
16, 102840234, 14.9256, 40.179
17, 870239622, 14.9256, 40.179
18, 870239566, 19.2433, 40.363
19, 870239616, 20.3092, 40.351
20, 870239603, 18.8495, 42.981
21, 870239572, 18.8971, 44.639
22, 870256278, 19.3416, 45.028
23, 870239611, 20.6371, 45.726
24, 102840218, 16.9154, 47.556
25, 102840241, 17.3309, 50.979
26, 870256243, 18.2236, 50.445
27, 870256247, 19.7421, 50.881
28, 870239573, 18.6117, 52.314
29, 102840256, 16.4905, 54.814
30, 870256276, 18.9622, 56.195
31, 102840252, 14.7437, 57.289
32, 870239624, 18.8684, 58.509
33, 870239608, 19.7265, 58.998
34, 870239621, 20.4897, 59.111
35, 102840227, 18.1508, 59.317
36, 870239617, 18.568, 61.429
37, 870256248, 20.0968, 61.238
38, 870239610, 20.2282, 63.838
39, 870256249, 20.4271, 63.901
40, 870239601, 19.51, 66.27
41, 102840233, 17.4756, 66.856
42, 102840243, 18.498, 68.128
43, 870239570, 19.3905, 68.388
44, 870239589, 17.8268, 71.321
45, 870239590, 18.747, 71.713
46, 870239568, 20.7417, 71.634
47, 870239571, 18.4982, 72.653
48, 870239588, 18.3514, 72.969
49, 870239602, 19.9393, 73.375
50, 870239618, 19.1791, 73.612
51, 870256282, 20.1175, 73.455
52, 102840213, 18.44, 73.81
53, 870256279, 19.4504, 75.089
54, 870239592, 19.0139, 76.362
55, 870239575, 20.6111, 77.477
56, 870256246, 19.6097, 77.275
57, 102840206, 15.2909, 78.685
58, 102840204, 14.9497, 79.035
59, 870239564, 18.2779, 79.553
60, 870239565, 18.3772, 79.814
61, 870256284, 19.409, 80.089
62, 870239553, 16.1507, 80.99
63, 102840220, 18.0963, 80.895
64, 102840212, 15.7593, 81.216
65, 102840257, 13.835, 81.739
66, 870256245, 19.0699, 81.765
67, 870239591, 19.9346, 82.363
68, 102840225, 17.6068, 82.788
69, 102840200, 15.7287, 83.568
70, 870239567, 20.1207, 83.444
71, 102840255, 14.0569, 83.901
72, 102840198, 15.0195, 83.708
73, 870256281, 20.3241, 83.764
74, 870239552, 15.8018, 84.488
75, 102840231, 17.9325, 85.407
76, 870256292, 20.055, 85.677
77, 870239600, 18.561, 86.652
78, 102840194, 17.0276, 87.56
79, 102840197, 17.2115, 87.565
80, 102840251, 17.2479, 88.31
81, 870256277, 18.9251, 89.327
82, 870239569, 18.0027, 91.245
83, 870256293, 20.6595, 91.114
84, 102840268, 17.4977, 91.113
85, 102840226, 17.5727, 91.615
86, 102840275, 13.4884, 91.787
87, 870256283, 20.6348, 92.104
88, 102840195, 17.3316, 92.457
89, 870239587, 18.9039, 92.848
90, 102840264, 16.2677, 93.512
91, 870256280, 19.2534, 93.89
92, 102840207, 16.789, 94.205
93, 102840259, 16.64, 94.999
94, 870239596, 18.2524, 95.498
95, 870239560, 18.0524, 95.084
96, 870239562, 20.1006, 95.913
97, 870248138, 19.5805, 96.395
98, 102840193, 18.0141, 96.502
99, 870239581, 19.1088, 97.138
100, 102840215, 15.7536, 96.555
101, 870256244, 18.741, 96.775
102, 102977545, 17.5301, 97.137
103, 870256290, 19.5332, 97.636
104, 870239551, 18.3735, 98.112
105, 102840277, 17.0831, 99.591
106, 870239579, 19.1419, 100.673
107, 870248139, 20.1835, 100.923
108, 870256230, 19.6843, 101.04
109, 870239597, 19.7669, 101.817
110, 102840192, 16.53, 101.71
111, 870248131, 19.2735, 101.901
112, 870239548, 20.3808, 102.152
113, 870256234, 20.4138, 102.548
114, 102840199, 15.3557, 102.682
115, 870256287, 18.1233, 102.757
116, 102840245, 16.3712, 103.606
117, 870256252, 20.5759, 103.143
118, 870239595, 19.748, 104.502
119, 102840203, 15.9592, 104.114
120, 102977541, 16.5147, 104.193
121, 870256254, 20.3624, 104.434
122, 870256231, 19.0311, 104.594
123, 870256294, 19.3623, 105.398
124, 870256251, 20.3651, 105.107
125, 870239599, 20.4954, 106.608
126, 102977513, 12.7316, 106.496
127, 870248109, 19.8671, 107.185
128, 102840265, 15.0497, 106.797
129, 870239558, 20.3441, 106.837
130, 102840186, 17.4022, 107.397
131, 870256233, 19.8309, 108.009
132, 870239580, 18.9902, 108.668
133, 870239561, 19.3608, 108.546
134, 102840191, 15.9243, 109.01
135, 870248108, 19.2126, 109.593
136, 102977516, 18.6944, 109.459
137, 870248103, 20.3395, 110.23
138, 870239549, 20.8002, 110.135
139, 102840270, 17.5302, 110.475
140, 102977528, 16.1455, 110.894
141, 102840214, 16.9962, 111.697
142, 870239578, 18.3201, 111.781
143, 102840182, 15.7623, 111.924
144, 870248105, 19.6079, 113.169
145, 102840283, 15.2387, 113.213
146, 102840230, 17.5705, 113.487
147, 102840232, 15.5183, 113.478
148, 102840253, 16.7794, 114.405
149, 102840224, 17.0714, 114.488
150, 870248114, 16.1357, 114.915
151, 102840184, 16.9151, 114.656
152, 870248132, 19.0219, 115.292
153, 102840188, 15.1892, 115.149
154, 870248107, 19.0375, 116.21
155, 870256235, 20.8253, 115.58
156, 870256289, 19.5073, 116.566
157, 870239598, 20.0447, 117.667
158, 870256232, 19.9021, 117.386
159, 102840287, 19.501, 117.791
160, 102840180, 17.2833, 118.97
161, 870248113, 17.9817, 119.518
162, 870239545, 18.944, 119.385
163, 870256228, 19.6141, 119.296
164, 870256242, 20.1314, 119.364
165, 870256288, 18.4428, 119.81
166, 102840271, 16.9499, 119.909
167, 870239593, 19.012, 120.574
168, 870256250, 18.2565, 120.209
169, 870248115, 20.0341, 121.163
170, 870239559, 19.1248, 121.917
171, 870256253, 20.6793, 122.903
172, 102840288, 17.079, 123.516
173, 870239582, 19.6861, 123.582
174, 870239594, 18.399, 123.895
175, 870248134, 18.9049, 123.804
176, 102977535, 16.349, 123.375
177, 870239583, 19.7527, 123.929
178, 102840249, 16.4359, 124.983
179, 102840217, 18.013, 124.855
180, 870256296, 18.6255, 125.001
181, 870248133, 20.5981, 125.202
182, 870239547, 19.8159, 125.258
183, 102840189, 15.066, 125.231
184, 870256291, 19.4933, 126.324
185, 870256255, 20.5461, 126.133
186, 870248136, 19.9822, 127.75
187, 870239535, 18.8432, 127.504
188, 870248112, 18.7616, 128.153
189, 870256286, 18.1447, 128.553
190, 870239556, 18.0076, 128.572
191, 870248135, 19.2957, 129.362
192, 870248116, 20.2802, 130.094
193, 102977514, 15.782, 129.617
194, 870256240, 18.6971, 130.639
195, 870239584, 19.9691, 131.389
196, 102977559, 17.5274, 130.891
197, 870256285, 18.9412, 131.79
198, 870239524, 18.8757, 132.297
199, 102840286, 17.1572, 132.447
200, 870248102, 17.9332, 132.716
201, 870239550, 19.1911, 132.604
202, 870248111, 20.6999, 132.774
203, 870239523, 18.0212, 132.855
204, 870256241, 18.5569, 133.219
205, 870239586, 19.3975, 134.062
206, 870248104, 19.311, 134.415
207, 102840292, 15.5604, 134.897
208, 870256272, 20.5805, 135.046
209, 870239577, 17.907, 135.505
210, 870256229, 17.6526, 135.225
211, 870239563, 19.5366, 134.829
212, 102977504, 15.452, 135.114
213, 870239576, 17.9027, 135.962
214, 870239546, 18.7329, 135.857
215, 870248140, 17.7628, 138.214
216, 870256307, 19.9067, 138.014
217, 870256238, 17.7776, 138.106
218, 870239534, 18.6562, 138.993
219, 870256239, 18.9143, 138.772
220, 102840175, 17.2179, 139.248
221, 870239527, 20.6069, 139.852
222, 870263924, 18.4094, 139.859
223, 870256301, 20.0621, 140.261
224, 870248137, 20.037, 141.001
225, 870256236, 18.0826, 140.816
226, 102977491, 17.3195, 140.79
227, 870248036, 19.1171, 141.702
228, 102840222, 15.2125, 141.827
229, 870248106, 19.3041, 141.849
230, 102840216, 16.4889, 142.083
231, 870263923, 19.0479, 143.066
232, 870263925, 18.5586, 143.045
233, 870239538, 17.9752, 144.275
234, 870256118, 19.9401, 144.183
235, 870248033, 19.0247, 145.549
236, 870248130, 18.7697, 145.931
237, 102840304, 15.7928, 146.165
238, 870248037, 19.5282, 146.902
239, 870239540, 19.8808, 147.184
240, 870239528, 20.7505, 147.339
241, 102840177, 15.2599, 147.056
242, 102840258, 19.5834, 148.189
243, 102840168, 15.906, 147.976
244, 102840169, 16.916, 148.289
245, 870248110, 19.6876, 149.204
246, 870256306, 19.5758, 149.382
247, 870256270, 19.8593, 149.357
248, 870239585, 20.6798, 149.968
249, 870239557, 19.5361, 150.926
250, 870239514, 17.636, 151.491
251, 102840313, 17.3957, 151.635
252, 102977505, 17.7205, 151.41
253, 102840316, 17.4317, 151.981
254, 102840250, 16.2742, 152.238
255, 870248126, 19.299, 152.681
256, 102977476, 14.5978, 152.812
257, 870256237, 18.5539, 152.691
258, 870239544, 18.371, 153.082
259, 870239522, 19.0605, 154.097
260, 102840306, 17.7386, 154.033
261, 870256271, 20.6207, 154.513
262, 102840170, 15.1874, 155.137
263, 870248145, 19.9876, 155.429
264, 870256299, 18.544, 155.461
265, 870248038, 20.1989, 156.02
266, 870239436, 19.9111, 155.642
267, 870239525, 19.0242, 156.576
268, 870239542, 20.0752, 156.527
269, 870256256, 19.4899, 156.216
270, 102977572, 18.3469, 156.609
271, 870239555, 18.7056, 157.867
272, 102840209, 16.8457, 158.555
273, 870248121, 17.376, 158.807
274, 504997602, 19.7326, 158.63
275, 870248142, 18.9083, 158.935
276, 102840235, 17.2915, 159.713
277, 870248032, 18.7493, 159.8
278, 102840165, 17.8762, 159.479
279, 102840228, 14.8621, 159.869
280, 870256302, 20.2332, 159.792
281, 870256268, 19.1368, 159.688
282, 870256297, 19.4591, 160.171
283, 102977463, 16.4164, 160.448
284, 870239435, 17.7791, 160.486
285, 870248040, 20.6532, 161.091
286, 870256258, 21.0603, 160.441
287, 870239541, 20.0145, 161.11
288, 870263929, 19.1581, 161.692
289, 102977507, 16.7037, 161.637
290, 102840160, 15.4591, 162.82
291, 102840320, 18.3342, 163.306
292, 870239526, 19.5167, 163.445
293, 870263926, 19.1521, 163.209
294, 870256116, 18.6184, 163.158
295, 870248143, 19.2315, 163.697
296, 870256120, 20.2845, 163.602
297, 870239437, 19.2469, 163.759
298, 870239554, 18.881, 164.027
299, 870256257, 19.0335, 163.703
300, 870248034, 19.3853, 165.053
301, 102840159, 16.7348, 165.104
302, 870256298, 19.2783, 165.123
303, 870239539, 19.8573, 165.396
304, 102840248, 16.2739, 165.763
305, 102840314, 17.6238, 166.018
306, 870239515, 19.8625, 165.953
307, 102840293, 17.0931, 166.16
308, 870248127, 19.2673, 166.181
309, 870248035, 19.2635, 166.555
310, 870239537, 20.4415, 166.591
311, 870256269, 18.6478, 166.593
312, 870248039, 19.7498, 167.45
313, 870239433, 18.1569, 167.008
314, 870248146, 18.6801, 167.429
315, 870256300, 19.3543, 167.73
316, 870239441, 19.0208, 168.087
317, 870248144, 18.7317, 168.642
318, 102977589, 15.2062, 168.303
319, 102977502, 16.7468, 169.079
320, 870248141, 18.3304, 169.948
321, 870248117, 17.741, 170.213
